Experiment order,Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
14,0407_08.csv,0407_08_mesh_9.ply,135.324,236.363,23.548,4.262,4.171,0.036,266.028199
20,0408_12.csv,0408_12_mesh_19.ply,138.868,199.829,18.951,4.132,4.191,0.036,259.2389895
6,0403_16.csv,0403_16_mesh_9.ply,78.364,163.569,13.356,11.192,4.306,0.036,459.39462
20,0408_13.csv,0408_13_mesh_23.ply,96.754,154.82,9.44,4.713,4.929,0.036,372.0776402
10,0406_01.csv,0406_01_mesh_9.ply,86.707,206.485,28.069,10.857,5.228,0.036,415.1913917
20,0408_13.csv,0408_13_mesh_13.ply,135.55,305.734,35.206,6.472,5.329,0.036,265.5846551
10,0405_11.csv,0405_11_mesh_19.ply,79.993,200.864,24.564,5.884,3.201,0.037,462.5404723
20,0408_12.csv,0408_12_mesh_17.ply,137.303,234.433,25.883,5.688,3.565,0.037,269.4769961
12,0406_13.csv,0406_13_mesh_3.ply,134.959,317.37,39.645,8.491,3.85,0.037,274.1573367
6,0403_15.csv,0403_15_mesh_10.ply,91.523,199.95,25.602,5.611,4.221,0.037,404.2699649
16,0407_18.csv,0407_18_mesh_9.ply,128.531,178.108,11.625,9.06,4.63,0.037,287.8682964
16,0407_19.csv,0407_19_mesh_16.ply,100.79,240.09,25.662,7.777,6.241,0.037,367.0999107
10,0405_10.csv,0405_10_mesh_14.ply,101.334,310.335,39.851,6.143,8.722,0.037,365.1291768
