Experiment order,Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
11,0406_06.csv,0406_06_mesh_14.ply,148.335,337.62,40.314,7.138,6.215,0.038,256.1768969
15,0407_11.csv,0407_11_mesh_10.ply,280.992,442.496,40.227,12.77,5.044,0.072,256.235053
19,0408_08.csv,0408_08_mesh_6.ply,132.622,330.202,47.388,9.873,3.695,0.034,256.3677218
3,0331_10.csv,0331_10_mesh_2.ply,144.32,309.744,42.594,7.21,3.426,0.037,256.3747228
19,0408_07.csv,0408_07_mesh_13.ply,413.426,508.873,32.586,9.992,6.016,0.106,256.394131
11,0406_05.csv,0406_05_mesh_17.ply,128.68,206.494,22.764,5.953,3.491,0.033,256.4501088
17,0407_26.csv,0407_26_mesh_4.ply,128.627,204.441,20.962,4.481,4.167,0.033,256.5557776
15,0407_12.csv,0407_12_mesh_10.ply,62.305,178.95,29.488,5.471,4.048,0.016,256.8012198
13,0407_04.csv,0407_04_mesh_17.ply,42.796,150.924,31.069,5.19,3.918,0.011,257.0333676
3,0331_09.csv,0331_09_mesh_8.ply,1617.402,963.449,11.433,33.839,9.36,0.416,257.2026002
11,0406_05.csv,0406_05_mesh_13.ply,46.425,113.418,16.606,3.194,3.512,0.012,258.4814216
17,0407_24.csv,0407_24_mesh_4.ply,247.383,256.644,13.941,7.592,5.785,0.064,258.708157
11,0406_05.csv,0406_05_mesh_20.ply,80.97,156.884,24.521,6.201,4.13,0.021,259.3553168
11,0406_06.csv,0406_06_mesh_19.ply,46.259,87.852,8.573,3.553,3.11,0.012,259.4089799
13,0407_03.csv,0407_03_mesh_12.ply,158.008,199.537,16.872,5.787,4.347,0.041,259.4805326
5,0403_10.csv,0403_10_mesh_1.ply,2983.586,1541.653,47.059,15.138,10.306,0.775,259.754537
3,0403_02.csv,0403_02_mesh_9.ply,61.574,132.405,19.707,3.159,2.894,0.016,259.8499367
13,0407_02.csv,0407_02_mesh_12.ply,977.432,724.263,32.178,9.075,7.772,0.254,259.8646249
9,0405_08.csv,0405_08_mesh_8.ply,30.782,97.754,13.643,4.65,3.542,0.008,259.8921448
15,0407_14.csv,0407_14_mesh_18.ply,269.329,314.256,22.163,8.183,4.981,0.07,259.9051717
15,0407_12.csv,0407_12_mesh_3.ply,145.92,229.334,23.885,6.304,4.225,0.038,260.4166667
9,0405_08.csv,0405_08_mesh_10.ply,103.485,270.563,13.324,5.296,4.347,0.027,260.9073779
9,0405_08.csv,0405_08_mesh_16.ply,252.636,388.699,26.547,16.858,4.932,0.066,261.2454282
15,0407_14.csv,0407_14_mesh_15.ply,49.759,103.923,12.508,3.876,3.322,0.013,261.2592697
