Source.Name,File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g),Density (kg/m3)
0508_01.csv,0508_01_mesh_9.ply,183.673,269.978,24.334,6.635,5.057,0.057,310.3341264
0507_11.csv,0507_11_mesh_7.ply,796.493,833.728,24.947,13.738,10.504,0.247,310.1094423
0507_08.csv,0507_08_mesh_32.ply,45.2,138.4,15.898,6.347,4.479,0.014,309.7345133
0507_14.csv,0507_14_mesh_5.ply,3173.794,1756.958,50.623,14.148,10.724,0.981,309.0937849
0506_04.csv,0506_04_mesh_8.ply,220.111,408.801,41.579,7.461,4.843,0.068,308.9350373
0506_01.csv,0506_01_mesh_12.ply,119.768,284.691,36.229,7.044,3.673,0.037,308.9305992
0507_02.csv,0507_02_mesh_13.ply,240.172,316.182,28.605,4.829,4.659,0.074,308.1125194
0506_12.csv,0506_12_mesh_10.ply,61.757,122.77,7.577,8.386,3.14,0.019,307.6574315
0508_01.csv,0508_01_mesh_1.ply,276.86,396.793,16.546,10.504,6.119,0.085,307.0143755
0506_03.csv,0506_03_mesh_3.ply,306.396,259.236,10.678,8.159,7.79,0.094,306.7925169
0507_14.csv,0507_14_mesh_14.ply,2005.725,1468.143,70.419,14.135,9.09,0.615,306.6222937
0506_10.csv,0506_10_mesh_1.ply,327.22,365.471,29.298,9.075,5.184,0.1,305.6047919
0506_03.csv,0506_03_mesh_9.ply,1852.052,1218.173,45.43,19.027,9.211,0.564,304.5270867
0506_02.csv,0506_02_mesh_14.ply,36.168,100.524,15.209,4.303,2.716,0.011,304.136253
0507_14.csv,0507_14_mesh_10.ply,217.417,225.999,13.046,7.022,5.412,0.066,303.5641187
0505_01.csv,0505_01_mesh_1.ply,201.185,272.895,19.463,6.94,5.242,0.061,303.2035191
0507_02.csv,0507_02_mesh_17.ply,1119.416,912.5,37.989,11.144,7.529,0.338,301.9431561
0507_02.csv,0507_02_mesh_8.ply,334.524,355.14,21.228,8.926,6.107,0.101,301.9215363
0507_09.csv,0507_09_mesh_6.ply,833.48,626.521,23.677,12.332,7.788,0.251,301.1469981
0507_01.csv,0507_01_mesh_5.ply,8174.959,3796.912,75.489,21.463,15.026,2.458,300.6742908
0507_02.csv,0507_02_mesh_4.ply,1120.856,850.064,35.42,14.729,8.57,0.337,300.6630647
0507_05.csv,0507_05_mesh_3.ply,103.25,180.932,20.665,4.615,3.088,0.031,300.2421308
0507_04.csv,0507_04_mesh_5.ply,233.725,360.091,25.119,6.933,5.384,0.07,299.4972724
0507_08.csv,0507_08_mesh_2.ply,113.68,188.095,14.78,6.676,3.984,0.034,299.0851513
0506_05.csv,0506_05_mesh_13.ply,30.121,63.082,5.733,4.485,3.024,0.009,298.7948607
0506_01.csv,0506_01_mesh_3.ply,328.502,379.325,32.683,5.898,4.728,0.098,298.3239067
0505_01.csv,0505_01_mesh_4.ply,887.795,993.538,63.501,9.114,6.88,0.264,297.365946
0507_10.csv,0507_10_mesh_15.ply,312.784,462.277,28.482,9.29,8.404,0.093,297.3297867
0507_02.csv,0507_02_mesh_12.ply,571.915,557.574,30.915,6.918,6.642,0.17,297.2469685
0507_02.csv,0507_02_mesh_9.ply,1151.036,687.973,17.527,15.081,12.014,0.341,296.2548522
0507_03.csv,0507_03_mesh_11.ply,50.649,104.162,12.111,3.234,2.74,0.015,296.1558965
0507_10.csv,0507_10_mesh_6.ply,125.158,179.773,12.937,7.22,4.936,0.037,295.6263283
0507_12.csv,0507_12_mesh_10.ply,94.73,177.823,13.124,4.252,3.823,0.028,295.5769028
